Matrix,Analyte,Conc Range,Method,Unit,Type,Source,Mean,Mean_gg,sd,sd_gg,log_mean,log_sd,H_sd,log_H_sd
SRM Matrix,Non Protein Nitrogen,,NITF01,G_P_100G,Interim Precision,SRM18AC,0.02,0.0002,0.001,0.00001,-3.698970004,-5,0.0014,-2.841189546
SRM Matrix,Non Protein Nitrogen,,NITF01,G_P_100G,Interim Precision,SRM18AD,0.02,0.0002,0.001,0.00001,-3.698970004,-5,0.0014,-2.841189546
SUG_STARCH,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,0.02,0.0002,0.001,0.00001,-3.698970004,-5,0.0014,-2.841189546
SRM Matrix,Non Protein Nitrogen,,NITF01,G_P_100G,Interim Precision,SRM18AH,0.03,0.0003,0.001,0.00001,-3.522878745,-5,0.0020,-2.691602663
SRM Matrix,Non Protein Nitrogen,,NITF01,G_P_100G,Interim Precision,SRM18AE,0.03,0.0003,0.001,0.00001,-3.522878745,-5,0.0020,-2.691602663
SRM Matrix,Non Protein Nitrogen,,NITF01,G_P_100G,Interim Precision,SRM18AG,0.04,0.0004,0.001,0.00001,-3.397940009,-5,0.0026,-2.58546908
SRM Matrix,Non Protein Nitrogen,,NITF01,G_P_100G,Interim Precision,SRM18AF,0.04,0.0004,0.001,0.00001,-3.397940009,-5,0.0026,-2.58546908
SRM Matrix,Moisture,,MOIS02,G_P_100G,Interim Precision,SRM31Q,0.05,0.0005,0.005,0.00005,-3.301029996,-4.301029996,0.0031,-2.503145477
CHEMICAL,Acid Value (as Oleic Acid),,ACIV03,G_P_100G,Repeatability,Duplicates,0.05,0.0005,0.003,0.00003,-3.301029996,-4.522878745,0.0031,-2.503145477
SRM Matrix,Moisture,,MOIS02,G_P_100G,Interim Precision,SRM31P,0.05,0.0005,0.003,0.00003,-3.301029996,-4.522878745,0.0031,-2.503145477
AMF,Moisture,,MOIS02,G_P_100G,Repeatability,Duplicates,0.07,0.0007,0.001,0.00001,-3.15490196,-5,0.0042,-2.379011903
PDR_FCMP,Titratable Acidity ( as Lactic Acid ),,TITA02,G_P_100G,Repeatability,Duplicates,0.1,0.001,0.001,0.00001,-3,-5,0.0057,-2.247425011
PDR_FCMP,Titratable Acidity ( as Lactic Acid ),,TITA02,G_P_100G,Repeatability,Duplicates,0.1,0.001,0.001,0.00001,-3,-5,0.0057,-2.247425011
PDR_WPC,Titratable Acidity ( as Lactic Acid ),,TITA02,G_P_100G,Repeatability,Duplicates,0.1,0.001,0.001,0.00001,-3,-5,0.0057,-2.247425011
PDR_WHEY,Acidity (as Lactic Acid),,TITA08,G_P_100G,Repeatability,Duplicates,0.1,0.001,0.001,0.00001,-3,-5,0.0057,-2.247425011
PDR_SMP,Titratable Acidity ( as Lactic Acid ),,TITA02,G_P_100G,Repeatability,Duplicates,0.11,0.0011,0.001,0.00001,-2.958607315,-5,0.0061,-2.212262546
PDR_SMP,Titratable Acidity ( as Lactic Acid ),,TITA02,G_P_100G,Repeatability,Duplicates,0.11,0.0011,0.001,0.00001,-2.958607315,-5,0.0061,-2.212262546
PDR_BMP,Titratable Acidity ( as Lactic Acid ),,TITA02,G_P_100G,Repeatability,Duplicates,0.11,0.0011,0.001,0.00001,-2.958607315,-5,0.0061,-2.212262546
PDR_WPC,Titratable Acidity ( as Lactic Acid ),,TITA02,G_P_100G,Repeatability,Duplicates,0.11,0.0011,0.001,0.00001,-2.958607315,-5,0.0061,-2.212262546
LIQ_MILK,Acidity ( as Lactic Acid),,TITA04,G_P_100G,Repeatability,Duplicates,0.13,0.0013,0.001,0.00001,-2.886056648,-5,0.0071,-2.150631842
CREAM,Acidity ( as Lactic Acid),,TITA04,G_P_100G,Repeatability,Duplicates,0.13,0.0013,0.001,0.00001,-2.886056648,-5,0.0071,-2.150631842
LIQ_MILK,Acidity ( as Lactic Acid),,TITA04,G_P_100G,Repeatability,Duplicates,0.14,0.0014,0.001,0.00001,-2.853871964,-5,0.0075,-2.123291436
CREAM,Acidity ( as Lactic Acid),,TITA04,G_P_100G,Repeatability,Duplicates,0.14,0.0014,0.001,0.00001,-2.853871964,-5,0.0075,-2.123291436
LIQ_MILK,Acidity ( as Lactic Acid),,TITA04,G_P_100G,Interim Precision,Replicates,0.15,0.0015,0.007,0.00007,-2.823908741,-4.15490196,0.0080,-2.097838127
LIQ_MILK,Acidity ( as Lactic Acid),,TITA04,G_P_100G,Interim Precision,Replicates,0.15,0.0015,0.007,0.00007,-2.823908741,-4.15490196,0.0080,-2.097838127
AMF,Free Fatty Acid (as Oleic Acid),,FFAC01,G_P_100G,Repeatability,Duplicates,0.17,0.0017,0.007,0.00007,-2.769551079,-4.15490196,0.0089,-2.051662108
PERM_RETEN,Fat,,FATS01,G_P_100G,Repeatability,Duplicates,0.17,0.0017,0.004,0.00004,-2.769551079,-4.397940009,0.0089,-2.051662108
SRM Matrix,Free Fatty Acids as Oleic (Hot Press),,FFAC04,G_P_100G,Interim Precision,SRM19Q,0.18,0.0018,0.007,0.00007,-2.744727495,-4.15490196,0.0093,-2.030574846
SRM Matrix,Free Fatty Acid (as Oleic Acid),,FFAC01,G_P_100G,Interim Precision,SRM19Q,0.19,0.0019,0.01,0.0001,-2.721246399,-4,0.0098,-2.010628008
SRM Matrix,Free Fatty Acid (as Oleic Acid),,FFAC01,G_P_100G,Interim Precision,SRM19Q,0.19,0.0019,0.01,0.0001,-2.721246399,-4,0.0098,-2.010628008
AMF,Free Fatty Acid (as Oleic Acid),,FFAC01,G_P_100G,Repeatability,Duplicates,0.19,0.0019,0.006,0.00006,-2.721246399,-4.22184875,0.0098,-2.010628008
SRM Matrix,Acid Value (as Oleic Acid),,ACIV03,G_P_100G,Interim Precision,SRM19Q,0.21,0.0021,0.02,0.0002,-2.677780705,-3.698970004,0.0106,-1.973704553
SRM Matrix,Free Fatty Acid (as Oleic Acid),,FFAC01,G_P_100G,Interim Precision,SRM19P,0.26,0.0026,0.01,0.0001,-2.585026652,-4,0.0127,-1.894911375
BUTTER,Free Fatty Acid (as Oleic Acid),,FFAC01,G_P_100G,Repeatability,Duplicates,0.27,0.0027,0.007,0.00007,-2.568636236,-4.15490196,0.0132,-1.880987963
SOUPS,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,0.29,0.0029,0.004,0.00004,-2.537602002,-4.397940009,0.0140,-1.854624847
PERM_RETEN,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,0.3,0.003,0.001,0.00001,-2.522878745,-5,0.0144,-1.842117661
MISC_LIQ,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,0.34,0.0034,0.002,0.00002,-2.468521083,-4.698970004,0.0160,-1.795941642
