SAMPLE_NUMBER,ANALYSIS,REPORTED_NAME,STATUS,UNITS,ENTRY,REPORTABLE,REPLICATE_COUNT
9025592,MICP010406,Calcium,A,MG_P_100G,278.4521326,T,1
9401718,MICP010406,Calcium,A,MG_P_100G,334.8368852,T,1
9025592,MICP010406,Copper,A,MG_P_KG,3.582239891,T,1
9401718,MICP010406,Copper,A,MG_P_KG,4.05032358,T,1
9025592,MICP010406,Iron,A,MG_P_KG,58.54904275,T,1
9401718,MICP010406,Iron,A,MG_P_KG,65.08050689,T,1
9025592,MICP010406,Magnesium,A,MG_P_100G,36.61460553,T,1
9401718,MICP010406,Magnesium,A,MG_P_100G,43.24463857,T,1
9025592,MICP010406,Manganese,A,MG_P_KG,0.550852104,F,1
9401718,MICP010406,Manganese,A,MG_P_KG,0.610001401,F,1
9025592,MICP010406,Phosphorus,A,PCT_M-M,0.225745957,F,1
9401718,MICP010406,Phosphorus,A,PCT_M-M,0.221459498,F,1
9025592,MICP010406,Potassium,A,MG_P_100G,577.2644333,T,1
9401718,MICP010406,Potassium,A,MG_P_100G,657.0863379,T,1
9025592,MICP010406,Sodium,A,MG_P_100G,191.7188778,T,1
9401718,MICP010406,Sodium,A,PCT_M-M,0.215378499,F,1
9025592,MICP010406,Sulphur,A,PCT_M-M,0.128515379,F,1
9401718,MICP010406,Sulphur,A,PCT_M-M,0.138263442,F,1
9025592,MICP010406,Zinc,A,MG_P_KG,55.70794716,F,1
9401718,MICP010406,Zinc,A,MG_P_KG,61.3622199,F,1
