SAMPLE_NUMBER,LOGIN_DATE,ANALYSIS,SAMPLING_POINT,REPORTED_NAME,REPORTED_UNITS,ENTRY
6371643,4/07/2014 13:42,VITA111106,IRM001A,Vitamin A,IU_P_100G,2735
6443696,31/07/2014 8:45,VITA120507,IRM001A,Vitamin A,IU_P_100G,2113
6193078,7/05/2014 13:31,VITA111106,IRM001A,Vitamin A,IU_P_100G,2670
6235066,21/05/2014 9:24,VITA111106,IRM001A,Vitamin A,IU_P_100G,2458
6236949,21/05/2014 13:34,VITA120507,IRM001A,Vitamin A,IU_P_100G,2370
6261156,29/05/2014 9:53,VITA120507,IRM001A,Vitamin A,IU_P_100G,2293
6242649,22/05/2014 18:26,VITA111106,IRM001A,Vitamin A,IU_P_100G,2533
6231137,20/05/2014 9:29,VITA111106,IRM001A,Vitamin A,IU_P_100G,2305
6259947,28/05/2014 17:17,VITA111106,IRM001A,Vitamin A,IU_P_100G,2282
6251131,26/05/2014 13:12,VITA111106,IRM001A,Vitamin A,IU_P_100G,2420
6248717,25/05/2014 7:43,VITA111106,IRM001A,Vitamin A,IU_P_100G,2440
6248722,25/05/2014 7:47,VITA120507,IRM001A,Vitamin A,IU_P_100G,2440
6252567,27/05/2014 6:52,VITA120507,IRM001A,Vitamin A,IU_P_100G,2528
6254821,27/05/2014 13:12,VITA111106,IRM001A,Vitamin A,IU_P_100G,2381
6267492,30/05/2014 14:35,VITA120507,IRM001A,Vitamin A,IU_P_100G,2367
6270228,1/06/2014 7:35,VITA111106,IRM001A,Vitamin A,IU_P_100G,2327
6272852,2/06/2014 13:07,VITA111106,IRM001A,Vitamin A,IU_P_100G,2324
6272994,2/06/2014 13:26,VITA111106,IRM001A,Vitamin A,IU_P_100G,2330
6271061,1/06/2014 13:58,VITA120507,IRM001A,Vitamin A,IU_P_100G,2327
6272321,2/06/2014 11:10,VITA120507,IRM001A,Vitamin A,IU_P_100G,2330
6276795,3/06/2014 14:21,VITA120507,IRM001A,Vitamin A,IU_P_100G,2411
6284176,5/06/2014 13:54,VITA111106,IRM001A,Vitamin A,IU_P_100G,2511
6284555,5/06/2014 15:19,VITA120507,IRM001A,Vitamin A,IU_P_100G,2372
6288094,6/06/2014 13:49,VITA120507,IRM001A,Vitamin A,IU_P_100G,2304
6291256,8/06/2014 7:33,VITA120507,IRM001A,Vitamin A,IU_P_100G,2393
6295052,10/06/2014 13:51,VITA111106,IRM001A,Vitamin A,IU_P_100G,2468
6295135,10/06/2014 14:13,VITA120507,IRM001A,Vitamin A,IU_P_100G,2461
6303738,12/06/2014 14:27,VITA111106,IRM001A,Vitamin A,IU_P_100G,2461
6305274,13/06/2014 8:19,VITA120507,IRM001A,Vitamin A,IU_P_100G,2383
6311879,16/06/2014 8:59,VITA120507,IRM001A,Vitamin A,IU_P_100G,2311
6298423,11/06/2014 11:22,VITA120507,IRM001A,Vitamin A,IU_P_100G,2352
6325172,19/06/2014 11:33,VITA111106,IRM001A,Vitamin A,IU_P_100G,2295
6328419,20/06/2014 8:42,VITA120507,IRM001A,Vitamin A,IU_P_100G,2371
6316284,17/06/2014 11:31,VITA120507,IRM001A,Vitamin A,IU_P_100G,2369
6333599,22/06/2014 7:52,VITA120507,IRM001A,Vitamin A,IU_P_100G,2300
6337311,24/06/2014 6:52,VITA120507,IRM001A,Vitamin A,IU_P_100G,2280
6346256,26/06/2014 10:07,VITA120507,IRM001A,Vitamin A,IU_P_100G,2238
6325760,19/06/2014 13:01,VITA120507,IRM001A,Vitamin A,IU_P_100G,2400
6357011,30/06/2014 14:15,VITA120507,IRM001A,Vitamin A,IU_P_100G,2234
6359483,1/07/2014 11:08,VITA120507,IRM001A,Vitamin A,IU_P_100G,2295
6360678,1/07/2014 13:28,VITA111106,IRM001A,Vitamin A,IU_P_100G,2313
6365092,2/07/2014 17:15,VITA120507,IRM001A,Vitamin A,IU_P_100G,2258
6375120,7/07/2014 8:11,VITA120507,IRM001A,Vitamin A,IU_P_100G,2393
6375517,7/07/2014 8:59,VITA111106,IRM001A,Vitamin A,IU_P_100G,2312
6386145,10/07/2014 11:17,VITA120507,IRM001A,Vitamin A,IU_P_100G,2490
6394829,14/07/2014 11:39,VITA120507,IRM001A,Vitamin A,IU_P_100G,2301
6379824,8/07/2014 13:22,VITA111106,IRM001A,Vitamin A,IU_P_100G,2328
6405170,17/07/2014 13:49,VITA120507,IRM001A,Vitamin A,IU_P_100G,2310
6401939,16/07/2014 13:26,VITA111106,IRM001A,Vitamin A,IU_P_100G,2427
6413639,21/07/2014 11:26,VITA120507,IRM001A,Vitamin A,IU_P_100G,2268
6237266,21/05/2014 14:01,VITA111106,IRM001A,Vitamin A,IU_P_100G,2370
6399953,16/07/2014 8:42,VITA120507,IRM001A,Vitamin A,IU_P_100G,2350
6422614,24/07/2014 8:12,VITA120507,IRM001A,Vitamin A,IU_P_100G,2273
6423970,24/07/2014 12:37,VITA111106,IRM001A,Vitamin A,IU_P_100G,2283
6428281,25/07/2014 13:56,VITA111106,IRM001A,Vitamin A,IU_P_100G,2288
6431604,27/07/2014 7:28,VITA120507,IRM001A,Vitamin A,IU_P_100G,2240
6448747,1/08/2014 13:04,VITA111106,IRM001A,Vitamin A,IU_P_100G,2286
6449875,1/08/2014 16:12,VITA120507,IRM001A,Vitamin A,IU_P_100G,2231
6452778,4/08/2014 7:03,VITA120507,IRM001A,Vitamin A,IU_P_100G,2309
6444969,31/07/2014 12:15,VITA111106,IRM001A,Vitamin A,IU_P_100G,2291
6454540,4/08/2014 13:05,VITA111106,IRM001A,Vitamin A,IU_P_100G,2372
6461522,6/08/2014 13:19,VITA111106,IRM001A,Vitamin A,IU_P_100G,2431
6464936,7/08/2014 11:56,VITA111106,IRM001A,Vitamin A,IU_P_100G,2188
6465037,7/08/2014 12:04,VITA120507,IRM001A,Vitamin A,IU_P_100G,2323
6455257,4/08/2014 16:51,VITA111106,IRM001A,Vitamin A,IU_P_100G,2261
6472231,10/08/2014 8:03,VITA120507,IRM001A,Vitamin A,IU_P_100G,2287
6479434,12/08/2014 15:19,VITA111106,IRM001A,Vitamin A,IU_P_100G,2266
6479945,12/08/2014 16:59,VITA111106,IRM001A,Vitamin A,IU_P_100G,2122
5884816,22/01/2014 8:07,VITA120507,IRM001A,Vitamin A,IU_P_100G,2341
5889026,23/01/2014 8:10,VITA120507,IRM001A,Vitamin A,IU_P_100G,2383
5828152,2/01/2014 13:38,VITA111106,IRM001A,Vitamin A,IU_P_100G,2346
5828153,2/01/2014 13:39,VITA111106,IRM001A,Vitamin A,IU_P_100G,2342
5835924,6/01/2014 13:23,VITA120507,IRM001A,Vitamin A,IU_P_100G,2443
5835926,6/01/2014 13:23,VITA120507,IRM001A,Vitamin A,IU_P_100G,2433
5839301,7/01/2014 13:10,VITA120507,IRM001A,Vitamin A,IU_P_100G,2524
5843095,8/01/2014 13:10,VITA111106,IRM001A,Vitamin A,IU_P_100G,2457
5843097,8/01/2014 13:10,VITA111106,IRM001A,Vitamin A,IU_P_100G,2410
5843346,8/01/2014 13:35,VITA120507,IRM001A,Vitamin A,IU_P_100G,2413
5843347,8/01/2014 13:36,VITA120507,IRM001A,Vitamin A,IU_P_100G,2376
5849912,10/01/2014 10:55,VITA120507,IRM001A,Vitamin A,IU_P_100G,2322
